ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 4,191; 5,815; 0,000; 19,850; 10,494; 0,000; 12,320; 9,064; 0,000; 53,150; 33,339; 0,000; 13,022; 4,383; 0,000; 953,500; 709,882; 0,000; 0,291; 0,578; 0,000; 3000,000; 0,000; 0,000; 0,369; 0,063; 0,000; 3000,000; 0,000; 
0,050; 3,566; 5,194; 0,050; 18,250; 7,880; 0,050; 10,130; 7,243; 0,050; 64,000; 42,385; 0,050; 13,090; 6,349; 0,050; 1234,600; 868,540; 0,050; 0,482; 1,139; 0,050; 3000,000; 0,000; 0,050; 0,401; 0,085; 0,050; 3000,000; 0,000; 
0,100; 2,617; 3,729; 0,100; 17,150; 9,092; 0,100; 12,463; 6,661; 0,100; 62,350; 49,659; 0,100; 12,799; 5,804; 0,100; 1299,500; 998,705; 0,100; 1,389; 2,567; 0,100; 3000,000; 0,000; 0,100; 0,346; 0,079; 0,100; 3000,000; 0,000; 
0,150; 7,254; 12,466; 0,150; 21,050; 27,865; 0,150; 7,668; 5,867; 0,150; 59,400; 29,995; 0,150; 12,477; 4,503; 0,150; 1156,050; 908,416; 0,150; 0,590; 1,596; 0,150; 3000,000; 0,000; 0,150; 0,386; 0,113; 0,150; 3000,000; 0,000; 
0,200; 4,850; 9,894; 0,200; 20,050; 13,363; 0,200; 11,573; 7,427; 0,200; 59,250; 26,675; 0,200; 13,984; 6,311; 0,200; 1231,000; 853,137; 0,200; 1,019; 3,523; 0,200; 3000,000; 0,000; 0,200; 0,373; 0,116; 0,200; 3000,000; 0,000; 
0,250; 2,393; 2,936; 0,250; 19,400; 5,286; 0,250; 12,430; 9,892; 0,250; 81,200; 60,058; 0,250; 17,305; 8,147; 0,250; 1141,100; 929,691; 0,250; 0,397; 0,611; 0,250; 3000,000; 0,000; 0,250; 0,378; 0,109; 0,250; 3000,000; 0,000; 
0,300; 2,935; 4,413; 0,300; 22,500; 20,618; 0,300; 9,522; 9,303; 0,300; 54,600; 32,253; 0,300; 16,673; 6,053; 0,300; 982,350; 846,401; 0,300; 0,532; 0,631; 0,300; 3000,000; 0,000; 0,300; 0,351; 0,085; 0,300; 3000,000; 0,000; 
0,350; 2,386; 3,529; 0,350; 15,450; 7,316; 0,350; 10,349; 6,533; 0,350; 62,800; 44,051; 0,350; 13,007; 6,676; 0,350; 1628,400; 776,942; 0,350; 0,606; 1,155; 0,350; 3000,000; 0,000; 0,350; 0,351; 0,067; 0,350; 3000,000; 0,000; 
0,400; 2,814; 3,935; 0,400; 17,950; 10,133; 0,400; 11,079; 7,678; 0,400; 69,750; 49,324; 0,400; 15,833; 6,841; 0,400; 1207,800; 982,240; 0,400; 0,323; 0,507; 0,400; 3000,000; 0,000; 0,400; 0,355; 0,058; 0,400; 3000,000; 0,000; 
0,450; 5,187; 7,953; 0,450; 15,850; 8,689; 0,450; 13,094; 7,741; 0,450; 66,100; 41,044; 0,450; 13,857; 7,583; 0,450; 1383,100; 955,908; 0,450; 1,262; 2,327; 0,450; 3000,000; 0,000; 0,450; 0,339; 0,077; 0,450; 3000,000; 0,000; 
0,500; 3,229; 4,127; 0,500; 16,800; 8,495; 0,500; 10,360; 8,901; 0,500; 72,450; 43,848; 0,500; 15,513; 6,258; 0,500; 1373,300; 779,944; 0,500; 0,438; 0,831; 0,500; 3000,000; 0,000; 0,500; 0,341; 0,075; 0,500; 3000,000; 0,000; 
0,550; 7,264; 9,758; 0,550; 21,750; 16,676; 0,550; 16,494; 10,153; 0,550; 83,350; 48,034; 0,550; 13,273; 6,504; 0,550; 1706,750; 832,337; 0,550; 0,314; 0,332; 0,550; 3000,000; 0,000; 0,550; 0,334; 0,068; 0,550; 3000,000; 0,000; 
0,600; 1,889; 1,963; 0,600; 16,000; 8,039; 0,600; 13,664; 8,845; 0,600; 70,500; 35,108; 0,600; 12,843; 4,562; 0,600; 1557,300; 1021,858; 0,600; 0,156; 0,217; 0,600; 3000,000; 0,000; 0,600; 0,372; 0,079; 0,600; 3000,000; 0,000; 
0,650; 3,013; 4,012; 0,650; 13,000; 6,743; 0,650; 14,667; 9,004; 0,650; 81,450; 74,231; 0,650; 14,035; 5,609; 0,650; 1266,050; 907,429; 0,650; 0,409; 0,784; 0,650; 3000,000; 0,000; 0,650; 0,370; 0,087; 0,650; 3000,000; 0,000; 
0,700; 4,636; 5,209; 0,700; 16,200; 6,685; 0,700; 12,714; 9,105; 0,700; 58,750; 26,165; 0,700; 15,785; 5,426; 0,700; 1211,600; 843,338; 0,700; 0,207; 0,369; 0,700; 3000,000; 0,000; 0,700; 0,371; 0,068; 0,700; 3000,000; 0,000; 
0,750; 4,201; 5,444; 0,750; 21,350; 13,743; 0,750; 10,328; 7,688; 0,750; 59,500; 30,020; 0,750; 14,346; 5,428; 0,750; 896,400; 738,043; 0,750; 0,360; 0,614; 0,750; 3000,000; 0,000; 0,750; 0,336; 0,107; 0,750; 3000,000; 0,000; 
0,800; 6,758; 9,125; 0,800; 16,800; 7,150; 0,800; 16,582; 13,123; 0,800; 61,900; 28,828; 0,800; 12,241; 5,515; 0,800; 1352,700; 850,967; 0,800; 0,370; 0,775; 0,800; 3000,000; 0,000; 0,800; 0,362; 0,088; 0,800; 3000,000; 0,000; 
0,850; 4,401; 5,848; 0,850; 13,950; 7,089; 0,850; 11,253; 7,645; 0,850; 72,650; 40,562; 0,850; 14,547; 3,498; 0,850; 1393,500; 977,987; 0,850; 0,833; 1,778; 0,850; 3000,000; 0,000; 0,850; 0,373; 0,085; 0,850; 3000,000; 0,000; 
0,900; 2,654; 4,424; 0,900; 12,300; 5,100; 0,900; 12,068; 6,008; 0,900; 62,650; 44,043; 0,900; 13,554; 5,977; 0,900; 1202,300; 856,697; 0,900; 0,155; 0,163; 0,900; 3000,000; 0,000; 0,900; 0,359; 0,072; 0,900; 3000,000; 0,000; 
0,950; 4,383; 5,386; 0,950; 17,300; 5,704; 0,950; 11,315; 8,347; 0,950; 65,200; 40,682; 0,950; 15,340; 6,016; 0,950; 1258,300; 786,318; 0,950; 0,572; 1,389; 0,950; 3000,000; 0,000; 0,950; 0,352; 0,083; 0,950; 3000,000; 0,000; 
1,000; 8,567; 9,721; 1,000; 22,000; 15,984; 1,000; 14,438; 8,791; 1,000; 66,300; 43,360; 1,000; 12,747; 5,421; 1,000; 1534,000; 1036,081; 1,000; 0,855; 1,993; 1,000; 3000,000; 0,000; 1,000; 0,348; 0,074; 1,000; 3000,000; 0,000; 
