ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 1,517; 0,984; 0,000; 327,200; 251,835; 0,000; 1,030; 0,376; 0,000; 3000,000; 0,000; 0,000; 0,350; 0,149; 0,000; 3000,000; 0,000; 0,000; 0,839; 0,119; 0,000; 3000,000; 0,000; 0,000; 0,986; 0,026; 0,000; 3000,000; 0,000; 
0,050; 2,089; 1,723; 0,050; 278,800; 204,397; 0,050; 1,100; 0,489; 0,050; 3000,000; 0,000; 0,050; 0,428; 0,207; 0,050; 3000,000; 0,000; 0,050; 0,872; 0,106; 0,050; 3000,000; 0,000; 0,050; 0,980; 0,032; 0,050; 3000,000; 0,000; 
0,100; 1,241; 0,967; 0,100; 414,500; 338,955; 0,100; 1,043; 0,446; 0,100; 3000,000; 0,000; 0,100; 0,338; 0,188; 0,100; 3000,000; 0,000; 0,100; 0,829; 0,128; 0,100; 3000,000; 0,000; 0,100; 0,990; 0,020; 0,100; 3000,000; 0,000; 
0,150; 1,417; 1,973; 0,150; 359,600; 279,382; 0,150; 1,070; 0,375; 0,150; 3000,000; 0,000; 0,150; 0,345; 0,179; 0,150; 3000,000; 0,000; 0,150; 0,858; 0,106; 0,150; 3000,000; 0,000; 0,150; 0,998; 0,011; 0,150; 3000,000; 0,000; 
0,200; 1,580; 1,198; 0,200; 348,750; 249,878; 0,200; 1,135; 0,511; 0,200; 3000,000; 0,000; 0,200; 0,293; 0,161; 0,200; 3000,000; 0,000; 0,200; 0,853; 0,105; 0,200; 3000,000; 0,000; 0,200; 0,990; 0,017; 0,200; 3000,000; 0,000; 
0,250; 1,307; 1,362; 0,250; 466,850; 483,819; 0,250; 1,157; 0,447; 0,250; 3000,000; 0,000; 0,250; 0,388; 0,213; 0,250; 3000,000; 0,000; 0,250; 0,842; 0,134; 0,250; 3000,000; 0,000; 0,250; 0,993; 0,016; 0,250; 3000,000; 0,000; 
0,300; 0,872; 0,750; 0,300; 541,400; 514,452; 0,300; 1,058; 0,323; 0,300; 3000,000; 0,000; 0,300; 0,355; 0,228; 0,300; 3000,000; 0,000; 0,300; 0,869; 0,120; 0,300; 3000,000; 0,000; 0,300; 0,996; 0,015; 0,300; 3000,000; 0,000; 
0,350; 0,873; 0,798; 0,350; 552,550; 377,011; 0,350; 1,018; 0,306; 0,350; 3000,000; 0,000; 0,350; 0,425; 0,220; 0,350; 3000,000; 0,000; 0,350; 0,872; 0,127; 0,350; 3000,000; 0,000; 0,350; 0,987; 0,023; 0,350; 3000,000; 0,000; 
0,400; 1,061; 0,839; 0,400; 397,750; 367,056; 0,400; 1,026; 0,460; 0,400; 3000,000; 0,000; 0,400; 0,383; 0,191; 0,400; 3000,000; 0,000; 0,400; 0,854; 0,124; 0,400; 3000,000; 0,000; 0,400; 0,992; 0,022; 0,400; 3000,000; 0,000; 
0,450; 1,395; 0,980; 0,450; 441,000; 308,969; 0,450; 1,068; 0,309; 0,450; 3000,000; 0,000; 0,450; 0,434; 0,221; 0,450; 3000,000; 0,000; 0,450; 0,879; 0,088; 0,450; 3000,000; 0,000; 0,450; 0,990; 0,020; 0,450; 3000,000; 0,000; 
0,500; 0,922; 0,798; 0,500; 427,750; 268,153; 0,500; 1,128; 0,397; 0,500; 3000,000; 0,000; 0,500; 0,391; 0,211; 0,500; 3000,000; 0,000; 0,500; 0,842; 0,111; 0,500; 3000,000; 0,000; 0,500; 0,988; 0,017; 0,500; 3000,000; 0,000; 
0,550; 1,065; 0,779; 0,550; 484,000; 452,301; 0,550; 0,982; 0,399; 0,550; 3000,000; 0,000; 0,550; 0,332; 0,202; 0,550; 3000,000; 0,000; 0,550; 0,790; 0,149; 0,550; 3000,000; 0,000; 0,550; 1,003; 0,007; 0,550; 3000,000; 0,000; 
0,600; 1,037; 1,088; 0,600; 288,800; 200,427; 0,600; 1,172; 0,537; 0,600; 3000,000; 0,000; 0,600; 0,401; 0,210; 0,600; 3000,000; 0,000; 0,600; 0,887; 0,096; 0,600; 3000,000; 0,000; 0,600; 0,988; 0,020; 0,600; 3000,000; 0,000; 
0,650; 1,344; 1,235; 0,650; 351,600; 327,739; 0,650; 1,058; 0,255; 0,650; 3000,000; 0,000; 0,650; 0,307; 0,106; 0,650; 3000,000; 0,000; 0,650; 0,874; 0,118; 0,650; 3000,000; 0,000; 0,650; 0,988; 0,021; 0,650; 3000,000; 0,000; 
0,700; 1,065; 0,750; 0,700; 419,300; 239,077; 0,700; 1,151; 0,311; 0,700; 3000,000; 0,000; 0,700; 0,370; 0,280; 0,700; 3000,000; 0,000; 0,700; 0,865; 0,108; 0,700; 3000,000; 0,000; 0,700; 0,995; 0,012; 0,700; 3000,000; 0,000; 
0,750; 1,642; 1,205; 0,750; 479,300; 434,843; 0,750; 0,968; 0,342; 0,750; 3000,000; 0,000; 0,750; 0,311; 0,182; 0,750; 3000,000; 0,000; 0,750; 0,814; 0,130; 0,750; 3000,000; 0,000; 0,750; 0,991; 0,018; 0,750; 3000,000; 0,000; 
0,800; 1,088; 0,902; 0,800; 316,700; 236,072; 0,800; 1,055; 0,317; 0,800; 3000,000; 0,000; 0,800; 0,263; 0,134; 0,800; 3000,000; 0,000; 0,800; 0,867; 0,114; 0,800; 3000,000; 0,000; 0,800; 0,982; 0,035; 0,800; 3000,000; 0,000; 
0,850; 1,207; 1,158; 0,850; 380,500; 271,987; 0,850; 1,162; 0,347; 0,850; 3000,000; 0,000; 0,850; 0,365; 0,250; 0,850; 3000,000; 0,000; 0,850; 0,876; 0,145; 0,850; 3000,000; 0,000; 0,850; 0,996; 0,016; 0,850; 3000,000; 0,000; 
0,900; 0,831; 0,968; 0,900; 314,300; 393,448; 0,900; 0,964; 0,330; 0,900; 3000,000; 0,000; 0,900; 0,364; 0,160; 0,900; 3000,000; 0,000; 0,900; 0,878; 0,091; 0,900; 3000,000; 0,000; 0,900; 0,997; 0,014; 0,900; 3000,000; 0,000; 
0,950; 1,290; 1,212; 0,950; 506,500; 442,331; 0,950; 1,084; 0,422; 0,950; 3000,000; 0,000; 0,950; 0,341; 0,194; 0,950; 3000,000; 0,000; 0,950; 0,867; 0,138; 0,950; 3000,000; 0,000; 0,950; 0,994; 0,015; 0,950; 3000,000; 0,000; 
1,000; 0,906; 0,864; 1,000; 447,900; 326,973; 1,000; 1,123; 0,428; 1,000; 3000,000; 0,000; 1,000; 0,249; 0,149; 1,000; 3000,000; 0,000; 1,000; 0,856; 0,113; 1,000; 3000,000; 0,000; 1,000; 0,981; 0,036; 1,000; 3000,000; 0,000; 
