ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 0,030; 0,044; 0,000; 2294,350; 875,806; 0,000; 0,349; 0,184; 0,000; 3000,000; 0,000; 0,000; 0,801; 0,173; 0,000; 3000,000; 0,000; 0,000; 0,969; 0,041; 0,000; 3000,000; 0,000; 0,000; 1,010; 0,006; 0,000; 3000,000; 0,000; 
0,050; 0,030; 0,034; 0,050; 2525,700; 779,021; 0,050; 0,305; 0,177; 0,050; 3000,000; 0,000; 0,050; 0,756; 0,181; 0,050; 3000,000; 0,000; 0,050; 0,971; 0,048; 0,050; 3000,000; 0,000; 0,050; 1,010; 0,003; 0,050; 3000,000; 0,000; 
0,100; 0,019; 0,028; 0,100; 2188,600; 1016,490; 0,100; 0,306; 0,170; 0,100; 3000,000; 0,000; 0,100; 0,755; 0,191; 0,100; 3000,000; 0,000; 0,100; 0,976; 0,030; 0,100; 3000,000; 0,000; 0,100; 1,009; 0,004; 0,100; 3000,000; 0,000; 
0,150; 0,021; 0,022; 0,150; 2305,750; 820,612; 0,150; 0,315; 0,168; 0,150; 3000,000; 0,000; 0,150; 0,800; 0,177; 0,150; 3000,000; 0,000; 0,150; 0,978; 0,046; 0,150; 3000,000; 0,000; 0,150; 1,008; 0,006; 0,150; 3000,000; 0,000; 
0,200; 0,020; 0,021; 0,200; 2426,750; 706,644; 0,200; 0,342; 0,234; 0,200; 3000,000; 0,000; 0,200; 0,689; 0,172; 0,200; 3000,000; 0,000; 0,200; 0,963; 0,056; 0,200; 3000,000; 0,000; 0,200; 1,012; 0,002; 0,200; 3000,000; 0,000; 
0,250; 0,022; 0,023; 0,250; 2413,600; 932,859; 0,250; 0,339; 0,183; 0,250; 3000,000; 0,000; 0,250; 0,753; 0,137; 0,250; 3000,000; 0,000; 0,250; 0,961; 0,046; 0,250; 3000,000; 0,000; 0,250; 1,009; 0,006; 0,250; 3000,000; 0,000; 
0,300; 0,032; 0,032; 0,300; 2531,800; 759,297; 0,300; 0,319; 0,204; 0,300; 3000,000; 0,000; 0,300; 0,799; 0,189; 0,300; 3000,000; 0,000; 0,300; 0,982; 0,020; 0,300; 3000,000; 0,000; 0,300; 1,009; 0,004; 0,300; 3000,000; 0,000; 
0,350; 0,030; 0,066; 0,350; 1897,150; 1000,601; 0,350; 0,339; 0,196; 0,350; 3000,000; 0,000; 0,350; 0,740; 0,152; 0,350; 3000,000; 0,000; 0,350; 0,951; 0,050; 0,350; 3000,000; 0,000; 0,350; 1,007; 0,006; 0,350; 3000,000; 0,000; 
0,400; 0,026; 0,037; 0,400; 2404,500; 700,788; 0,400; 0,421; 0,180; 0,400; 3000,000; 0,000; 0,400; 0,809; 0,155; 0,400; 3000,000; 0,000; 0,400; 0,968; 0,037; 0,400; 3000,000; 0,000; 0,400; 1,009; 0,004; 0,400; 3000,000; 0,000; 
0,450; 0,021; 0,022; 0,450; 2340,750; 903,676; 0,450; 0,303; 0,175; 0,450; 3000,000; 0,000; 0,450; 0,741; 0,165; 0,450; 3000,000; 0,000; 0,450; 0,955; 0,064; 0,450; 3000,000; 0,000; 0,450; 1,010; 0,005; 0,450; 3000,000; 0,000; 
