ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 1,614; 1,629; 0,000; 160,350; 104,313; 0,000; 1,235; 0,529; 0,000; 3000,000; 0,000; 0,000; 0,266; 0,155; 0,000; 3000,000; 0,000; 0,000; 0,797; 0,134; 0,000; 3000,000; 0,000; 0,000; 0,979; 0,033; 0,000; 3000,000; 0,000; 
0,050; 1,487; 1,614; 0,050; 137,950; 101,566; 0,050; 1,117; 0,466; 0,050; 3000,000; 0,000; 0,050; 0,307; 0,158; 0,050; 3000,000; 0,000; 0,050; 0,796; 0,126; 0,050; 3000,000; 0,000; 0,050; 0,984; 0,021; 0,050; 3000,000; 0,000; 
0,100; 1,481; 1,627; 0,100; 173,800; 155,848; 0,100; 1,201; 0,406; 0,100; 3000,000; 0,000; 0,100; 0,335; 0,201; 0,100; 3000,000; 0,000; 0,100; 0,759; 0,145; 0,100; 3000,000; 0,000; 0,100; 0,984; 0,027; 0,100; 3000,000; 0,000; 
0,150; 2,199; 2,167; 0,150; 144,100; 64,619; 0,150; 0,983; 0,450; 0,150; 3000,000; 0,000; 0,150; 0,296; 0,206; 0,150; 3000,000; 0,000; 0,150; 0,800; 0,127; 0,150; 3000,000; 0,000; 0,150; 0,991; 0,013; 0,150; 3000,000; 0,000; 
0,200; 2,101; 1,728; 0,200; 185,650; 141,899; 0,200; 1,445; 0,533; 0,200; 2974,000; 116,276; 0,200; 0,287; 0,112; 0,200; 3000,000; 0,000; 0,200; 0,829; 0,132; 0,200; 3000,000; 0,000; 0,200; 0,991; 0,022; 0,200; 3000,000; 0,000; 
0,250; 1,474; 1,582; 0,250; 203,000; 171,154; 0,250; 1,334; 0,447; 0,250; 3000,000; 0,000; 0,250; 0,304; 0,191; 0,250; 3000,000; 0,000; 0,250; 0,821; 0,114; 0,250; 3000,000; 0,000; 0,250; 0,990; 0,013; 0,250; 3000,000; 0,000; 
0,300; 0,967; 1,014; 0,300; 106,600; 86,800; 0,300; 1,389; 0,463; 0,300; 3000,000; 0,000; 0,300; 0,360; 0,194; 0,300; 3000,000; 0,000; 0,300; 0,816; 0,151; 0,300; 3000,000; 0,000; 0,300; 0,985; 0,030; 0,300; 3000,000; 0,000; 
0,350; 2,158; 2,134; 0,350; 183,350; 146,367; 0,350; 1,261; 0,349; 0,350; 2915,300; 378,790; 0,350; 0,283; 0,104; 0,350; 3000,000; 0,000; 0,350; 0,821; 0,143; 0,350; 3000,000; 0,000; 0,350; 0,975; 0,039; 0,350; 3000,000; 0,000; 
0,400; 1,633; 1,581; 0,400; 131,900; 77,338; 0,400; 1,283; 0,358; 0,400; 3000,000; 0,000; 0,400; 0,327; 0,187; 0,400; 3000,000; 0,000; 0,400; 0,825; 0,139; 0,400; 3000,000; 0,000; 0,400; 0,983; 0,029; 0,400; 3000,000; 0,000; 
0,450; 1,366; 1,385; 0,450; 139,700; 113,650; 0,450; 1,347; 0,457; 0,450; 3000,000; 0,000; 0,450; 0,358; 0,208; 0,450; 3000,000; 0,000; 0,450; 0,826; 0,126; 0,450; 3000,000; 0,000; 0,450; 0,984; 0,031; 0,450; 3000,000; 0,000; 
0,500; 1,383; 1,402; 0,500; 150,600; 105,161; 0,500; 1,167; 0,416; 0,500; 3000,000; 0,000; 0,500; 0,286; 0,195; 0,500; 3000,000; 0,000; 0,500; 0,785; 0,139; 0,500; 3000,000; 0,000; 0,500; 0,980; 0,039; 0,500; 3000,000; 0,000; 
0,550; 1,868; 1,528; 0,550; 228,200; 128,293; 0,550; 1,085; 0,348; 0,550; 3000,000; 0,000; 0,550; 0,219; 0,154; 0,550; 3000,000; 0,000; 0,550; 0,769; 0,167; 0,550; 3000,000; 0,000; 0,550; 0,990; 0,017; 0,550; 3000,000; 0,000; 
0,600; 0,811; 0,938; 0,600; 202,050; 173,315; 0,600; 1,243; 0,432; 0,600; 3000,000; 0,000; 0,600; 0,264; 0,155; 0,600; 3000,000; 0,000; 0,600; 0,777; 0,118; 0,600; 3000,000; 0,000; 0,600; 0,993; 0,014; 0,600; 3000,000; 0,000; 
0,650; 1,294; 1,191; 0,650; 177,000; 167,757; 0,650; 1,038; 0,470; 0,650; 3000,000; 0,000; 0,650; 0,357; 0,239; 0,650; 3000,000; 0,000; 0,650; 0,810; 0,123; 0,650; 3000,000; 0,000; 0,650; 0,985; 0,034; 0,650; 3000,000; 0,000; 
0,700; 1,424; 1,535; 0,700; 223,150; 218,089; 0,700; 1,252; 0,383; 0,700; 3000,000; 0,000; 0,700; 0,297; 0,142; 0,700; 3000,000; 0,000; 0,700; 0,779; 0,101; 0,700; 3000,000; 0,000; 0,700; 0,982; 0,023; 0,700; 3000,000; 0,000; 
0,750; 1,740; 2,165; 0,750; 92,900; 74,500; 0,750; 1,219; 0,534; 0,750; 3000,000; 0,000; 0,750; 0,339; 0,182; 0,750; 3000,000; 0,000; 0,750; 0,826; 0,095; 0,750; 3000,000; 0,000; 0,750; 0,976; 0,028; 0,750; 3000,000; 0,000; 
0,800; 1,673; 1,362; 0,800; 211,450; 174,107; 0,800; 1,591; 0,483; 0,800; 2921,600; 350,615; 0,800; 0,374; 0,222; 0,800; 3000,000; 0,000; 0,800; 0,772; 0,136; 0,800; 3000,000; 0,000; 0,800; 0,984; 0,031; 0,800; 3000,000; 0,000; 
0,850; 1,420; 0,989; 0,850; 192,400; 149,419; 0,850; 1,238; 0,379; 0,850; 3000,000; 0,000; 0,850; 0,291; 0,131; 0,850; 3000,000; 0,000; 0,850; 0,797; 0,150; 0,850; 3000,000; 0,000; 0,850; 0,993; 0,017; 0,850; 3000,000; 0,000; 
0,900; 1,471; 1,119; 0,900; 202,150; 154,055; 0,900; 1,153; 0,422; 0,900; 3000,000; 0,000; 0,900; 0,226; 0,129; 0,900; 3000,000; 0,000; 0,900; 0,826; 0,154; 0,900; 3000,000; 0,000; 0,900; 0,984; 0,020; 0,900; 3000,000; 0,000; 
0,950; 3,218; 6,084; 0,950; 107,850; 81,880; 0,950; 1,334; 0,503; 0,950; 3000,000; 0,000; 0,950; 0,341; 0,168; 0,950; 3000,000; 0,000; 0,950; 0,830; 0,131; 0,950; 3000,000; 0,000; 0,950; 0,988; 0,024; 0,950; 3000,000; 0,000; 
1,000; 1,232; 0,960; 1,000; 223,100; 135,377; 1,000; 1,105; 0,441; 1,000; 3000,000; 0,000; 1,000; 0,264; 0,109; 1,000; 3000,000; 0,000; 1,000; 0,777; 0,137; 1,000; 3000,000; 0,000; 1,000; 0,984; 0,028; 1,000; 3000,000; 0,000; 
