ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 3,206; 5,064; 0,000; 31,100; 12,719; 0,000; 11,566; 8,176; 0,000; 195,200; 128,955; 0,000; 13,008; 5,730; 0,000; 2727,300; 628,955; 0,000; 0,233; 0,343; 0,000; 3000,000; 0,000; 0,000; 0,433; 0,066; 0,000; 3000,000; 0,000; 
0,050; 2,327; 2,680; 0,050; 25,350; 14,694; 0,050; 12,554; 8,555; 0,050; 99,950; 62,840; 0,050; 9,421; 5,480; 0,050; 2916,600; 230,356; 0,050; 0,990; 2,559; 0,050; 3000,000; 0,000; 0,050; 0,466; 0,077; 0,050; 3000,000; 0,000; 
0,100; 6,906; 9,959; 0,100; 34,100; 19,145; 0,100; 19,997; 11,079; 0,100; 173,250; 130,923; 0,100; 13,530; 5,367; 0,100; 2715,350; 750,957; 0,100; 0,987; 2,178; 0,100; 3000,000; 0,000; 0,100; 0,514; 0,089; 0,100; 3000,000; 0,000; 
0,150; 2,371; 2,543; 0,150; 31,350; 18,437; 0,150; 11,295; 7,841; 0,150; 153,900; 103,377; 0,150; 12,405; 5,232; 0,150; 2698,850; 592,020; 0,150; 0,610; 1,175; 0,150; 3000,000; 0,000; 0,150; 0,461; 0,070; 0,150; 3000,000; 0,000; 
0,200; 4,341; 6,079; 0,200; 24,500; 11,119; 0,200; 9,517; 6,818; 0,200; 129,700; 85,797; 0,200; 12,892; 5,845; 0,200; 3000,000; 0,000; 0,200; 0,803; 1,064; 0,200; 3000,000; 0,000; 0,200; 0,468; 0,085; 0,200; 3000,000; 0,000; 
0,250; 6,564; 10,806; 0,250; 26,800; 8,989; 0,250; 9,569; 5,943; 0,250; 119,900; 69,055; 0,250; 9,803; 4,902; 0,250; 2724,000; 684,641; 0,250; 1,169; 4,241; 0,250; 3000,000; 0,000; 0,250; 0,462; 0,107; 0,250; 3000,000; 0,000; 
0,300; 3,180; 3,820; 0,300; 28,750; 11,648; 0,300; 9,719; 6,664; 0,300; 133,400; 110,357; 0,300; 12,147; 5,208; 0,300; 2916,400; 373,871; 0,300; 0,181; 0,134; 0,300; 3000,000; 0,000; 0,300; 0,444; 0,077; 0,300; 3000,000; 0,000; 
0,350; 7,744; 11,092; 0,350; 26,950; 24,141; 0,350; 11,457; 8,810; 0,350; 200,550; 131,956; 0,350; 13,866; 6,914; 0,350; 2606,450; 718,454; 0,350; 0,923; 2,488; 0,350; 3000,000; 0,000; 0,350; 0,482; 0,098; 0,350; 3000,000; 0,000; 
0,400; 2,722; 4,038; 0,400; 33,850; 16,359; 0,400; 11,210; 7,332; 0,400; 131,750; 78,988; 0,400; 13,481; 4,134; 0,400; 2801,650; 611,930; 0,400; 1,451; 4,604; 0,400; 3000,000; 0,000; 0,400; 0,460; 0,068; 0,400; 3000,000; 0,000; 
0,450; 6,312; 9,799; 0,450; 27,950; 20,564; 0,450; 13,353; 6,589; 0,450; 123,500; 85,940; 0,450; 12,738; 5,537; 0,450; 2783,950; 675,593; 0,450; 0,319; 0,441; 0,450; 3000,000; 0,000; 0,450; 0,444; 0,091; 0,450; 3000,000; 0,000; 
0,500; 2,901; 3,009; 0,500; 20,700; 8,749; 0,500; 10,806; 6,250; 0,500; 159,800; 125,961; 0,500; 12,415; 5,064; 0,500; 2851,700; 567,439; 0,500; 0,450; 1,102; 0,500; 3000,000; 0,000; 0,500; 0,466; 0,086; 0,500; 3000,000; 0,000; 
0,550; 2,591; 2,704; 0,550; 25,650; 13,585; 0,550; 8,734; 5,288; 0,550; 156,950; 78,259; 0,550; 12,896; 5,098; 0,550; 2535,250; 814,206; 0,550; 0,560; 0,950; 0,550; 3000,000; 0,000; 0,550; 0,445; 0,134; 0,550; 3000,000; 0,000; 
0,600; 3,438; 4,270; 0,600; 25,950; 15,988; 0,600; 14,185; 8,031; 0,600; 167,750; 142,846; 0,600; 13,717; 5,681; 0,600; 3000,000; 0,000; 0,600; 0,278; 0,363; 0,600; 3000,000; 0,000; 0,600; 0,512; 0,105; 0,600; 3000,000; 0,000; 
0,650; 6,009; 8,661; 0,650; 22,550; 13,201; 0,650; 10,998; 11,119; 0,650; 123,500; 79,024; 0,650; 12,934; 5,836; 0,650; 2908,200; 328,734; 0,650; 0,677; 0,942; 0,650; 3000,000; 0,000; 0,650; 0,427; 0,097; 0,650; 3000,000; 0,000; 
0,700; 3,840; 3,180; 0,700; 27,350; 16,129; 0,700; 10,802; 8,749; 0,700; 141,200; 98,649; 0,700; 13,085; 6,784; 0,700; 2639,600; 843,906; 0,700; 0,401; 0,997; 0,700; 3000,000; 0,000; 0,700; 0,475; 0,084; 0,700; 3000,000; 0,000; 
0,750; 3,075; 6,214; 0,750; 25,750; 7,799; 0,750; 11,744; 7,963; 0,750; 128,850; 96,832; 0,750; 11,826; 3,896; 0,750; 2452,950; 1007,472; 0,750; 0,602; 0,948; 0,750; 3000,000; 0,000; 0,750; 0,446; 0,094; 0,750; 3000,000; 0,000; 
0,800; 4,330; 5,875; 0,800; 30,550; 15,244; 0,800; 10,436; 8,617; 0,800; 167,550; 73,773; 0,800; 11,992; 4,646; 0,800; 2887,450; 503,339; 0,800; 0,200; 0,278; 0,800; 3000,000; 0,000; 0,800; 0,450; 0,113; 0,800; 3000,000; 0,000; 
0,850; 2,263; 3,074; 0,850; 25,200; 17,416; 0,850; 13,356; 8,799; 0,850; 170,450; 94,058; 0,850; 15,416; 5,910; 0,850; 2675,500; 792,201; 0,850; 0,225; 0,250; 0,850; 3000,000; 0,000; 0,850; 0,496; 0,104; 0,850; 3000,000; 0,000; 
0,900; 4,805; 8,861; 0,900; 27,250; 16,277; 0,900; 10,534; 6,395; 0,900; 110,000; 64,163; 0,900; 13,190; 6,435; 0,900; 2956,550; 178,524; 0,900; 0,933; 2,005; 0,900; 3000,000; 0,000; 0,900; 0,414; 0,117; 0,900; 3000,000; 0,000; 
