ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 4,506; 5,256; 0,000; 15,250; 5,839; 0,000; 12,102; 8,322; 0,000; 44,200; 18,761; 0,000; 12,553; 7,699; 0,000; 385,950; 216,931; 0,000; 0,971; 1,622; 0,000; 3000,000; 0,000; 0,000; 0,319; 0,064; 0,000; 3000,000; 0,000; 
0,050; 5,005; 9,033; 0,050; 16,200; 13,165; 0,050; 12,419; 8,704; 0,050; 55,000; 50,261; 0,050; 13,316; 5,805; 0,050; 484,900; 230,002; 0,050; 0,250; 0,522; 0,050; 3000,000; 0,000; 0,050; 0,337; 0,094; 0,050; 3000,000; 0,000; 
0,100; 2,141; 2,372; 0,100; 14,200; 8,383; 0,100; 10,408; 9,321; 0,100; 48,450; 30,578; 0,100; 13,109; 7,114; 0,100; 422,750; 298,423; 0,100; 0,116; 0,194; 0,100; 3000,000; 0,000; 0,100; 0,330; 0,102; 0,100; 3000,000; 0,000; 
0,150; 3,315; 4,650; 0,150; 15,500; 9,763; 0,150; 13,875; 12,868; 0,150; 44,050; 24,676; 0,150; 12,883; 5,890; 0,150; 352,700; 187,301; 0,150; 1,329; 2,324; 0,150; 3000,000; 0,000; 0,150; 0,300; 0,048; 0,150; 3000,000; 0,000; 
0,200; 5,439; 10,141; 0,200; 17,000; 8,633; 0,200; 12,543; 8,794; 0,200; 58,500; 54,365; 0,200; 16,562; 8,302; 0,200; 447,250; 275,624; 0,200; 0,243; 0,426; 0,200; 3000,000; 0,000; 0,200; 0,293; 0,075; 0,200; 3000,000; 0,000; 
0,250; 8,379; 14,417; 0,250; 14,550; 4,729; 0,250; 16,015; 10,829; 0,250; 50,800; 26,104; 0,250; 15,151; 7,948; 0,250; 433,050; 276,325; 0,250; 0,467; 0,824; 0,250; 3000,000; 0,000; 0,250; 0,312; 0,068; 0,250; 3000,000; 0,000; 
0,300; 8,009; 9,648; 0,300; 17,500; 8,256; 0,300; 10,407; 10,288; 0,300; 36,500; 31,039; 0,300; 14,711; 7,741; 0,300; 382,150; 239,140; 0,300; 0,659; 1,175; 0,300; 3000,000; 0,000; 0,300; 0,303; 0,088; 0,300; 3000,000; 0,000; 
0,350; 3,243; 3,701; 0,350; 13,200; 6,732; 0,350; 7,536; 7,640; 0,350; 42,350; 18,821; 0,350; 16,336; 10,968; 0,350; 360,000; 227,113; 0,350; 0,486; 0,882; 0,350; 3000,000; 0,000; 0,350; 0,287; 0,076; 0,350; 3000,000; 0,000; 
0,400; 2,998; 3,981; 0,400; 14,400; 5,968; 0,400; 9,880; 7,041; 0,400; 36,700; 16,921; 0,400; 15,890; 7,097; 0,400; 385,600; 221,791; 0,400; 0,587; 1,419; 0,400; 3000,000; 0,000; 0,400; 0,293; 0,046; 0,400; 3000,000; 0,000; 
0,450; 2,535; 3,194; 0,450; 14,650; 6,831; 0,450; 15,389; 9,657; 0,450; 52,150; 38,538; 0,450; 14,602; 7,060; 0,450; 382,150; 163,677; 0,450; 0,705; 1,021; 0,450; 3000,000; 0,000; 0,450; 0,301; 0,063; 0,450; 3000,000; 0,000; 
0,500; 2,041; 1,748; 0,500; 13,100; 4,941; 0,500; 9,221; 10,292; 0,500; 46,450; 37,158; 0,500; 10,953; 6,698; 0,500; 463,000; 381,632; 0,500; 0,375; 0,598; 0,500; 3000,000; 0,000; 0,500; 0,315; 0,068; 0,500; 3000,000; 0,000; 
0,550; 4,749; 5,821; 0,550; 17,200; 8,314; 0,550; 10,966; 6,879; 0,550; 40,000; 20,989; 0,550; 16,338; 6,933; 0,550; 518,650; 308,172; 0,550; 1,261; 2,758; 0,550; 3000,000; 0,000; 0,550; 0,317; 0,074; 0,550; 3000,000; 0,000; 
0,600; 5,314; 7,337; 0,600; 14,250; 7,159; 0,600; 16,844; 11,971; 0,600; 57,500; 58,309; 0,600; 15,152; 8,444; 0,600; 406,700; 368,651; 0,600; 0,362; 0,795; 0,600; 3000,000; 0,000; 0,600; 0,293; 0,064; 0,600; 3000,000; 0,000; 
0,650; 4,241; 4,532; 0,650; 13,550; 8,941; 0,650; 14,169; 9,458; 0,650; 61,700; 51,921; 0,650; 11,403; 4,845; 0,650; 368,250; 280,645; 0,650; 0,246; 0,368; 0,650; 3000,000; 0,000; 0,650; 0,285; 0,055; 0,650; 3000,000; 0,000; 
0,700; 4,887; 8,367; 0,700; 14,550; 5,717; 0,700; 15,131; 8,984; 0,700; 52,900; 43,638; 0,700; 14,095; 4,874; 0,700; 489,850; 252,529; 0,700; 1,653; 5,283; 0,700; 3000,000; 0,000; 0,700; 0,307; 0,059; 0,700; 3000,000; 0,000; 
0,750; 3,866; 4,675; 0,750; 17,400; 10,440; 0,750; 15,882; 10,062; 0,750; 53,600; 48,794; 0,750; 14,359; 7,131; 0,750; 434,450; 199,243; 0,750; 0,899; 1,542; 0,750; 3000,000; 0,000; 0,750; 0,325; 0,084; 0,750; 3000,000; 0,000; 
0,800; 4,013; 8,162; 0,800; 14,900; 5,656; 0,800; 13,966; 9,715; 0,800; 50,450; 22,279; 0,800; 14,084; 5,248; 0,800; 436,300; 262,435; 0,800; 0,543; 0,799; 0,800; 3000,000; 0,000; 0,800; 0,334; 0,074; 0,800; 3000,000; 0,000; 
0,850; 7,794; 10,418; 0,850; 15,800; 9,876; 0,850; 16,059; 12,380; 0,850; 57,000; 45,888; 0,850; 16,627; 8,053; 0,850; 419,450; 423,962; 0,850; 0,493; 1,366; 0,850; 3000,000; 0,000; 0,850; 0,344; 0,095; 0,850; 3000,000; 0,000; 
0,900; 3,683; 6,136; 0,900; 15,750; 8,595; 0,900; 15,768; 7,485; 0,900; 45,600; 23,345; 0,900; 14,692; 6,015; 0,900; 564,800; 486,515; 0,900; 0,403; 0,534; 0,900; 3000,000; 0,000; 0,900; 0,290; 0,069; 0,900; 3000,000; 0,000; 
0,950; 5,166; 11,880; 0,950; 16,400; 13,284; 0,950; 15,283; 10,195; 0,950; 44,850; 18,858; 0,950; 14,407; 4,848; 0,950; 441,500; 204,514; 0,950; 0,271; 0,398; 0,950; 3000,000; 0,000; 0,950; 0,311; 0,067; 0,950; 3000,000; 0,000; 
1,000; 4,774; 6,330; 1,000; 16,050; 9,649; 1,000; 11,064; 9,288; 1,000; 45,900; 24,385; 1,000; 17,392; 8,381; 1,000; 569,000; 286,424; 1,000; 0,498; 1,609; 1,000; 3000,000; 0,000; 1,000; 0,309; 0,060; 1,000; 3000,000; 0,000; 
