ratio; opt_2; err_2; ratio; generations_2; err_2; ratio; opt_4; err_4; ratio; generations_4; err_4; ratio; opt_8; err_8; ratio; generations_8; err_8; ratio; opt_16; err_16; ratio; generations_16; err_16; ratio; opt_32; err_32; ratio; generations_32; err_32; 
0,000; 0,037; 0,062; 0,000; 2055,450; 976,911; 0,000; 0,405; 0,174; 0,000; 3000,000; 0,000; 0,000; 0,837; 0,142; 0,000; 3000,000; 0,000; 0,000; 0,980; 0,033; 0,000; 3000,000; 0,000; 0,000; 1,012; 0,005; 0,000; 3000,000; 0,000; 
0,050; 0,014; 0,034; 0,050; 1875,150; 1014,943; 0,050; 0,424; 0,208; 0,050; 3000,000; 0,000; 0,050; 0,805; 0,139; 0,050; 3000,000; 0,000; 0,050; 0,984; 0,027; 0,050; 3000,000; 0,000; 0,050; 1,012; 0,002; 0,050; 3000,000; 0,000; 
0,100; 0,016; 0,037; 0,100; 1951,300; 895,959; 0,100; 0,449; 0,233; 0,100; 3000,000; 0,000; 0,100; 0,743; 0,162; 0,100; 3000,000; 0,000; 0,100; 0,977; 0,037; 0,100; 3000,000; 0,000; 0,100; 1,009; 0,009; 0,100; 3000,000; 0,000; 
0,150; 0,011; 0,020; 0,150; 1762,800; 927,065; 0,150; 0,411; 0,192; 0,150; 3000,000; 0,000; 0,150; 0,815; 0,113; 0,150; 3000,000; 0,000; 0,150; 0,976; 0,038; 0,150; 3000,000; 0,000; 0,150; 1,011; 0,004; 0,150; 3000,000; 0,000; 
0,200; 0,013; 0,036; 0,200; 1967,850; 808,957; 0,200; 0,467; 0,187; 0,200; 3000,000; 0,000; 0,200; 0,779; 0,175; 0,200; 3000,000; 0,000; 0,200; 0,977; 0,035; 0,200; 3000,000; 0,000; 0,200; 1,010; 0,005; 0,200; 3000,000; 0,000; 
0,250; 0,012; 0,026; 0,250; 1759,050; 896,152; 0,250; 0,373; 0,245; 0,250; 3000,000; 0,000; 0,250; 0,845; 0,110; 0,250; 3000,000; 0,000; 0,250; 0,963; 0,059; 0,250; 3000,000; 0,000; 0,250; 1,011; 0,006; 0,250; 3000,000; 0,000; 
0,300; 0,018; 0,033; 0,300; 2112,350; 887,420; 0,300; 0,449; 0,178; 0,300; 3000,000; 0,000; 0,300; 0,750; 0,152; 0,300; 3000,000; 0,000; 0,300; 0,986; 0,028; 0,300; 3000,000; 0,000; 0,300; 1,012; 0,004; 0,300; 3000,000; 0,000; 
0,350; 0,007; 0,017; 0,350; 1703,350; 886,681; 0,350; 0,369; 0,191; 0,350; 3000,000; 0,000; 0,350; 0,782; 0,177; 0,350; 3000,000; 0,000; 0,350; 0,985; 0,029; 0,350; 3000,000; 0,000; 0,350; 1,013; 0,003; 0,350; 3000,000; 0,000; 
0,400; 0,015; 0,067; 0,400; 1724,350; 704,709; 0,400; 0,348; 0,158; 0,400; 3000,000; 0,000; 0,400; 0,797; 0,141; 0,400; 3000,000; 0,000; 0,400; 0,981; 0,032; 0,400; 3000,000; 0,000; 0,400; 1,011; 0,005; 0,400; 3000,000; 0,000; 
0,450; 0,006; 0,015; 0,450; 1681,800; 838,904; 0,450; 0,389; 0,259; 0,450; 3000,000; 0,000; 0,450; 0,872; 0,124; 0,450; 3000,000; 0,000; 0,450; 0,990; 0,027; 0,450; 3000,000; 0,000; 0,450; 1,012; 0,004; 0,450; 3000,000; 0,000; 
0,500; 0,022; 0,037; 0,500; 1927,350; 1011,199; 0,500; 0,421; 0,209; 0,500; 3000,000; 0,000; 0,500; 0,805; 0,156; 0,500; 3000,000; 0,000; 0,500; 0,974; 0,035; 0,500; 3000,000; 0,000; 0,500; 1,011; 0,004; 0,500; 3000,000; 0,000; 
